"Area","Year","Month","TM"
"AT",1893,"12",-3.7
"AT",1894,"01",-6.1
"AT",1894,"02",-2.2
"AT",1894,"03",1.3
"AT",1894,"04",7.4
"AT",1894,"05",9.4
"AT",1894,"06",11.4
"AT",1894,"07",15.4
"AT",1894,"08",13.5
"AT",1894,"09",9.3
"AT",1894,"10",5.9
"AT",1894,"11",1.3
"AT",1894,"12",-4.8
"AT",1895,"01",-6.7
"AT",1895,"02",-8.9
"AT",1895,"03",-1.4
"AT",1895,"04",5
"AT",1895,"05",8.5
"AT",1895,"06",12.7
"AT",1895,"07",15.6
"AT",1895,"08",13.6
"AT",1895,"09",12.8
"AT",1895,"10",5.3
"AT",1895,"11",2.3
"AT",1895,"12",-3.1
"AT",1896,"01",-6.1
"AT",1896,"02",-3.8
"AT",1896,"03",2
"AT",1896,"04",2.3
"AT",1896,"05",7.4
"AT",1896,"06",12.7
"AT",1896,"07",14.7
"AT",1896,"08",11.6
"AT",1896,"09",10.3
"AT",1896,"10",6.9
"AT",1896,"11",-0.6
"AT",1896,"12",-3
"AT",1897,"01",-4.3
"AT",1897,"02",-0.7
"AT",1897,"03",2.8
"AT",1897,"04",4.8
"AT",1897,"05",7.1
"AT",1897,"06",13.5
"AT",1897,"07",14.5
"AT",1897,"08",14.1
"AT",1897,"09",10.8
"AT",1897,"10",4.6
"AT",1897,"11",0
"AT",1897,"12",-3.6
"AT",1898,"01",-1.3
"AT",1898,"02",-2.8
"AT",1898,"03",0.8
"AT",1898,"04",5.7
"AT",1898,"05",9.5
"AT",1898,"06",11.6
"AT",1898,"07",12.9
"AT",1898,"08",15.2
"AT",1898,"09",11.6
"AT",1898,"10",7.4
"AT",1898,"11",3.3
"AT",1898,"12",-1.9
"AT",1899,"01",-1.4
"AT",1899,"02",-1.5
"AT",1899,"03",0.4
"AT",1899,"04",4.8
"AT",1899,"05",8.4
"AT",1899,"06",11.8
"AT",1899,"07",14.2
"AT",1899,"08",14
"AT",1899,"09",10
"AT",1899,"10",5.7
"AT",1899,"11",2.4
"AT",1899,"12",-6.7
"AT",1900,"01",-2.7
"AT",1900,"02",-0.2
"AT",1900,"03",-2.5
"AT",1900,"04",3.2
"AT",1900,"05",8.2
"AT",1900,"06",13.1
"AT",1900,"07",15.8
"AT",1900,"08",13.5
"AT",1900,"09",12.4
"AT",1900,"10",6.6
"AT",1900,"11",2.8
"AT",1900,"12",-1.3
"AT",1901,"01",-6.8
"AT",1901,"02",-7.6
"AT",1901,"03",-0.4
"AT",1901,"04",5
"AT",1901,"05",9.4
"AT",1901,"06",13.5
"AT",1901,"07",14.9
"AT",1901,"08",13.7
"AT",1901,"09",10.9
"AT",1901,"10",6.7
"AT",1901,"11",-0.6
"AT",1901,"12",-1.5
"AT",1902,"01",-1.3
"AT",1902,"02",-2.3
"AT",1902,"03",0.4
"AT",1902,"04",5.8
"AT",1902,"05",5.4
"AT",1902,"06",11.3
"AT",1902,"07",14.2
"AT",1902,"08",13.8
"AT",1902,"09",10.5
"AT",1902,"10",5.3
"AT",1902,"11",-1.1
"AT",1902,"12",-4.4
"AT",1903,"01",-5.3
"AT",1903,"02",-0.4
"AT",1903,"03",2.3
"AT",1903,"04",1.9
"AT",1903,"05",9.6
"AT",1903,"06",12
"AT",1903,"07",13.8
"AT",1903,"08",14
"AT",1903,"09",10.8
"AT",1903,"10",6.9
"AT",1903,"11",1.4
"AT",1903,"12",-3.1
"AT",1904,"01",-4.3
"AT",1904,"02",-1.8
"AT",1904,"03",1.2
"AT",1904,"04",5.9
"AT",1904,"05",9.8
"AT",1904,"06",13.3
"AT",1904,"07",16.3
"AT",1904,"08",14.6
"AT",1904,"09",9
"AT",1904,"10",5.8
"AT",1904,"11",-0.1
"AT",1904,"12",-2.2
"AT",1905,"01",-6.5
"AT",1905,"02",-2.9
"AT",1905,"03",1.5
"AT",1905,"04",3.4
"AT",1905,"05",8.8
"AT",1905,"06",13.4
"AT",1905,"07",16.6
"AT",1905,"08",14.5
"AT",1905,"09",12.1
"AT",1905,"10",1.3
"AT",1905,"11",1
"AT",1905,"12",-2.1
"AT",1906,"01",-3.7
"AT",1906,"02",-3.5
"AT",1906,"03",-0.1
"AT",1906,"04",4.9
"AT",1906,"05",9.4
"AT",1906,"06",11.5
"AT",1906,"07",14.4
"AT",1906,"08",14
"AT",1906,"09",9.2
"AT",1906,"10",7
"AT",1906,"11",2.9
"AT",1906,"12",-5.5
"AT",1907,"01",-5
"AT",1907,"02",-5.3
"AT",1907,"03",-1.8
"AT",1907,"04",2.5
"AT",1907,"05",10.8
"AT",1907,"06",13
"AT",1907,"07",12.9
"AT",1907,"08",14.3
"AT",1907,"09",11.3
"AT",1907,"10",9.5
"AT",1907,"11",0.5
"AT",1907,"12",-2.1
"AT",1908,"01",-5.4
"AT",1908,"02",-2.6
"AT",1908,"03",-0.7
"AT",1908,"04",2.6
"AT",1908,"05",11.6
"AT",1908,"06",14.3
"AT",1908,"07",14.1
"AT",1908,"08",12.3
